input_school,similar1,similar2,similar3,similar4,similar5,similar6,similar7,similar8,similar9,similar10
Colorado State University-Fort Collins,University of Kentucky,University of Nebraska-Lincoln,The University of Tennessee-Knoxville,Louisiana State University and Agricultural & Mechanical College,Iowa State University,University of Arkansas,University of Utah,University of Rhode Island,University of Kansas,Mississippi State University
University of Denver,University at Buffalo,Miami University-Oxford,University of Miami,Tulane University of Louisiana,University of Colorado Boulder,University of South Carolina-Columbia,Drexel University,University of Oregon,Clemson University,University of Delaware
Fort Lewis College,University of South Carolina Aiken,University of Central Arkansas,University of New Orleans,Georgia College & State University,Wright State University-Main Campus,Stockton University,SUNY Brockport,The University of Texas at Tyler,The University of Tennessee-Martin,Coastal Carolina University
Colorado Mesa University,Arkansas Tech University,University of Central Arkansas,Southeast Missouri State University,The University of Texas at Tyler,Saginaw Valley State University,Southwestern Oklahoma State University,Jacksonville State University,Ferris State University,Bemidji State University,University of Louisiana at Monroe
Metropolitan State University of Denver,The University of Texas at El Paso,University of New Mexico-Main Campus,Florida Atlantic University,Kean University,The University of Texas Rio Grande Valley,Texas Woman's University,Sam Houston State University,Texas State University,Angelo State University,Colorado State University Pueblo
University of Northern Colorado,University of Central Arkansas,Georgia College & State University,Winona State University,University of South Carolina Aiken,University of Southern Indiana,Worcester State University,Salem State University,Shippensburg University of Pennsylvania,Millersville University of Pennsylvania,Saginaw Valley State University
Regis University,The College of Saint Scholastica,Saint Mary's University of Minnesota,Caldwell University,Iona University,University of St Francis,Lewis University,University of Detroit Mercy,Western Connecticut State University,Fairleigh Dickinson University-Metropolitan Campus,Elmhurst University
Colorado State University Pueblo,Texas A & M University-Corpus Christi,Angelo State University,West Texas A & M University,Roosevelt University,William Paterson University of New Jersey,Wright State University-Main Campus,University of South Carolina Aiken,Fairleigh Dickinson University-Metropolitan Campus,University of Southern Indiana,The University of Texas at Tyler
United States Air Force Academy,United States Military Academy,Bucknell University,University of Richmond,Lehigh University,Illinois Institute of Technology,Yeshiva University,Clark University,Franklin and Marshall College,Rensselaer Polytechnic Institute,Drake University
Western Colorado University,St. Thomas Aquinas College,Berry College,The College of Idaho,Catawba College,Marietta College,Northern State University,Castleton University,University of North Carolina at Asheville,Chatham University,Lynn University
University of Bridgeport,Western Connecticut State University,Mercy College,William Paterson University of New Jersey,Fairleigh Dickinson University-Metropolitan Campus,Dominican University New York,Indiana University-Northwest,Roosevelt University,West Texas A & M University,Texas A & M University-Kingsville,Salem State University
Central Connecticut State University,Wright State University-Main Campus,Saginaw Valley State University,University of West Georgia,Stockton University,Salem State University,University of Central Arkansas,Millersville University of Pennsylvania,Shippensburg University of Pennsylvania,Slippery Rock University of Pennsylvania,Coastal Carolina University
Connecticut College,Occidental College,Trinity College,Oberlin College,Whitman College,Skidmore College,Colorado College,Denison University,Mount Holyoke College,Lawrence University,Wesleyan University
University of Connecticut,University of Massachusetts-Amherst,Syracuse University,University of Vermont,Stony Brook University,Boston University,George Washington University,University of Delaware,Clemson University,University of New Hampshire-Main Campus,University of Pittsburgh-Pittsburgh Campus
Eastern Connecticut State University,Longwood University,Lander University,Winthrop University,Radford University,Fairleigh Dickinson University-Florham Campus,Christopher Newport University,East Stroudsburg University of Pennsylvania,Francis Marion University,SUNY at Fredonia,Lindenwood University
Fairfield University,Providence College,Gonzaga University,Creighton University,Santa Clara University,Loyola University Maryland,Saint Joseph's University,Duquesne University,Seattle University,University of Portland,John Carroll University
University of Hartford,Wilkes University,Rider University,Fairleigh Dickinson University-Florham Campus,Baldwin Wallace University,Quinnipiac University,Widener University,Lindenwood University,University of Massachusetts-Dartmouth,York College of Pennsylvania,Stetson University
University of New Haven,University of Hartford,Wilkes University,Widener University,Western New England University,Baldwin Wallace University,Lindenwood University,Rider University,York College of Pennsylvania,Quinnipiac University,Fairleigh Dickinson University-Florham Campus
Quinnipiac University,Widener University,Butler University,Endicott College,University of Hartford,Rider University,Mercer University,Hofstra University,Marist College,Ramapo College of New Jersey,Duquesne University
University of Saint Joseph,Georgian Court University,College of Our Lady of the Elms,Immaculata University,Gwynedd Mercy University,Mount Mercy University,Marywood University,Marian University,DeSales University,Carlow University,Bellarmine University
Trinity College,Connecticut College,Skidmore College,Denison University,Colorado College,Occidental College,Oberlin College,Franklin and Marshall College,Washington and Lee University,Lafayette College,Claremont McKenna College
Wesleyan University,Colorado College,Skidmore College,Oberlin College,Bowdoin College,Bates College,Amherst College,Washington and Lee University,Colby College,Connecticut College,Whitman College
Western Connecticut State University,William Paterson University of New Jersey,Fitchburg State University,Salem State University,University of Bridgeport,Worcester State University,SUNY College at Plattsburgh,Fairleigh Dickinson University-Metropolitan Campus,Roosevelt University,Shippensburg University of Pennsylvania,Saginaw Valley State University
Yale University,Stanford University,Harvard University,University of Chicago,Columbia University in the City of New York,Vanderbilt University,Washington University in St Louis,University of Pennsylvania,Dartmouth College,Swarthmore College,Brown University
Delaware State University,Prairie View A & M University,Winston-Salem State University,North Carolina Central University,Hampton University,Southern University and A & M College,Norfolk State University,Alabama A & M University,Lander University,Virginia State University,Morgan State University
University of Delaware,University of South Carolina-Columbia,Miami University-Oxford,The University of Tennessee-Knoxville,University of Rhode Island,University of North Carolina Wilmington,Clemson University,University of Oklahoma-Norman Campus,James Madison University,The University of Alabama,University of Kansas
American University,George Washington University,Southern Methodist University,Fordham University,Texas Christian University,Syracuse University,Georgetown University,Boston College,Loyola Marymount University,University of Massachusetts-Amherst,Marquette University
Gallaudet University,Northwestern Oklahoma State University,Henderson State University,Concord University,Marietta College,Rockford University,Kentucky State University,West Liberty University,Northern State University,Columbia International University,Lander University
George Washington University,Boston University,Syracuse University,University of Connecticut,Northeastern University,American University,Fordham University,University of Massachusetts-Amherst,University of Vermont,University of Miami,Tulane University of Louisiana
Georgetown University,Boston College,University of Notre Dame,Washington University in St Louis,Vanderbilt University,University of Pennsylvania,University of Chicago,Fordham University,Tufts University,Columbia University in the City of New York,Duke University
Howard University,North Carolina A & T State University,SUNY at Albany,University of New Hampshire-Main Campus,Florida Agricultural and Mechanical University,Fisk University,Stockton University,Hampton University,Towson University,North Dakota State University-Main Campus,State University of New York at Oswego
The Baptist College of Florida,Calvary University,Truett McConnell University,Southeastern Baptist Theological Seminary,The Southern Baptist Theological Seminary,Blue Mountain Christian University,Manhattan Christian College,Valley City State University,Emmaus Bible College,Gardner-Webb University,Faith Baptist Bible College and Theological Seminary
Bethune-Cookman University,Dillard University,Lincoln University,Fort Valley State University,Kentucky State University,Clark Atlanta University,Benedict College,Elizabeth City State University,Alabama State University,Winston-Salem State University,Fayetteville State University
Lynn University,St. Thomas Aquinas College,Castleton University,Lasell University,Northern State University,Lake Superior State University,Nichols College,Columbia International University,Marietta College,Franklin Pierce University,Palm Beach Atlantic University
Johnson University Florida,Dallas Christian College,Trinity College of Florida,Johnson University,Howard Payne University,Trinity Baptist College,Judson University,Multnomah University,Boise Bible College,Kentucky Christian University,Trinity Bible College and Graduate School
University of Central Florida,Florida International University,University of South Florida,University of Arizona,Texas A & M University-College Station,University of North Texas,Texas Tech University,Florida Atlantic University,Florida State University,University of Houston,The University of Texas at San Antonio
Eckerd College,Hanover College,Arcadia University,Queens University of Charlotte,Presbyterian College,Saint Michael's College,Drury University,Emmanuel College,Rollins College,Juniata College,Hendrix College
Embry-Riddle Aeronautical University-Daytona Beach,University of Alabama in Huntsville,Embry-Riddle Aeronautical University-Prescott,Florida Institute of Technology,Louisiana Tech University,SUNY Maritime College,University of Wisconsin-Platteville,Missouri University of Science and Technology,University of Minnesota-Duluth,Tennessee Technological University,United States Merchant Marine Academy
Florida Agricultural and Mechanical University,Fayetteville State University,Morgan State University,Arkansas State University,Saginaw Valley State University,North Carolina A & T State University,Fitchburg State University,Minnesota State University Moorhead,Texas Southern University,Southeast Missouri State University,Saint Cloud State University
Florida Atlantic University,University of North Texas,The University of Texas at San Antonio,Texas State University,University of Nevada-Las Vegas,Florida International University,University of New Mexico-Main Campus,The University of Texas at El Paso,The University of Texas Rio Grande Valley,University of North Florida,Sam Houston State University
Flagler College,University of Illinois Springfield,Shepherd University,Friends University,Marymount Manhattan College,Millikin University,Stetson University,Georgia Southwestern State University,Lancaster Bible College,Point Park University,Upper Iowa University
Florida College,William Jewell College,Sterling College,The University of Tennessee Southern,Oakland City University,Soka University of America,University of Minnesota-Rochester,Lake Erie College,Holy Cross College,Columbia International University,The Evergreen State College
Florida Institute of Technology,Michigan Technological University,Illinois Institute of Technology,Clarkson University,Wentworth Institute of Technology,Embry-Riddle Aeronautical University-Daytona Beach,Ramapo College of New Jersey,South Dakota School of Mines and Technology,Embry-Riddle Aeronautical University-Prescott,University of Hartford,SUNY Maritime College
Florida International University,University of North Texas,Florida Atlantic University,The University of Texas at San Antonio,University of Arizona,University of Central Florida,Texas State University,Kennesaw State University,Texas Tech University,University of South Florida,University of Houston
Florida Southern College,High Point University,Birmingham-Southern College,Stetson University,Ramapo College of New Jersey,Biola University,St. John Fisher University,North Central College,Fairleigh Dickinson University-Florham Campus,George Fox University,Ohio Wesleyan University
Florida State University,University of South Florida,Auburn University,University of Georgia,George Mason University,University of Alabama at Birmingham,University of South Carolina-Columbia,The University of Tennessee-Knoxville,The University of Alabama,University of Florida,Indiana University-Bloomington
University of Florida,University of Illinois Urbana-Champaign,University of Michigan-Ann Arbor,University of Maryland-College Park,Ohio State University-Main Campus,University of Wisconsin-Madison,Rutgers University-New Brunswick,University of Georgia,North Carolina State University at Raleigh,University of Miami,Purdue University-Main Campus
Jacksonville University,Wilkes University,Lindenwood University,York College of Pennsylvania,Quinnipiac University,University of Hartford,Baldwin Wallace University,University of Nebraska at Kearney,Lander University,Radford University,Stetson University
University of Miami,Tulane University of Louisiana,University of Denver,Clemson University,University of Virginia-Main Campus,University of Georgia,University of Pittsburgh-Pittsburgh Campus,University of Florida,University of Maryland-College Park,North Carolina State University at Raleigh,University of South Carolina-Columbia
University of North Florida,University of North Georgia,Minnesota State University-Mankato,University of Central Oklahoma,University of Wisconsin-Milwaukee,Wichita State University,Middle Tennessee State University,University of Louisville,Oakland University,Northern Kentucky University,University of Akron Main Campus
Nova Southeastern University,The University of Texas at Arlington,Dominican University of California,University of Illinois Chicago,University of South Alabama,Virginia Commonwealth University,University of Connecticut-Stamford,Southern Adventist University,Azusa Pacific University,Adelphi University,William Paterson University of New Jersey
Palm Beach Atlantic University,Aquinas College,Taylor University,Freed-Hardeman University,Northwest Nazarene University,University of Northwestern-St Paul,Oklahoma Christian University,Trinity International University-Illinois,Indiana Wesleyan University-Marion,University of Mobile,Carson-Newman University
Rollins College,Illinois Wesleyan University,Lake Forest College,John Brown University,Washington College,Berry College,DePauw University,Butler University,Alfred University,University of North Carolina at Asheville,Drake University
Saint Leo University,Youngstown State University,University of South Carolina-Upstate,Iona University,University of Michigan-Flint,Rhode Island College,Augusta University,Governors State University,Lewis University,Columbus State University,Louisiana State University-Shreveport
University of South Florida,Florida State University,University of Alabama at Birmingham,Auburn University,Kennesaw State University,University of Central Florida,University of Arizona,Louisiana State University and Agricultural & Mechanical College,University at Buffalo,George Mason University,Indiana University-Purdue University-Indianapolis
Stetson University,Fairleigh Dickinson University-Florham Campus,Ramapo College of New Jersey,Rider University,University of Massachusetts-Dartmouth,Butler University,Baldwin Wallace University,Longwood University,Wilkes University,State University of New York at Oswego,SUNY at Fredonia
Trinity Baptist College,Faith Baptist Bible College and Theological Seminary,Maranatha Baptist University,Trinity Bible College and Graduate School,Appalachian Bible College,Trinity College of Florida,Dallas Christian College,Kentucky Christian University,Boise Bible College,Warner University,York University
Trinity College of Florida,Trinity Baptist College,Dallas Christian College,Johnson University Florida,Multnomah University,York University,Trinity Bible College and Graduate School,Kentucky Christian University,Warner University,Ottawa University-Ottawa,Bethany College
Warner University,Defiance College,Greenville University,Williams Baptist University,York University,Bethany College,Pfeiffer University,Tabor College,Oakland City University,Louisiana Christian University,Kentucky Christian University
The University of West Florida,McNeese State University,University of Missouri-St Louis,Augusta University,University of Colorado Colorado Springs,Arkansas State University,Youngstown State University,University of Michigan-Dearborn,University of Michigan-Flint,Austin Peay State University,Northwestern State University of Louisiana
Abraham Baldwin Agricultural College,Gordon State College,College of Coastal Georgia,Georgia Southwestern State University,Dickinson State University,Mississippi University for Women,West Virginia University Institute of Technology,Shepherd University,Friends University,Upper Iowa University,Minot State University
Agnes Scott College,Hendrix College,Arcadia University,Presbyterian College,Hanover College,Austin College,Centre College,Meredith College,Washington College,Drew University,St. Mary's College of Maryland
Point University,Central Baptist College,Manhattan Christian College,Southwestern College,Kentucky Christian University,Oklahoma Wesleyan University,Dallas Christian College,Southern Wesleyan University,Johnson University,University of Providence,Governors State University
Clark Atlanta University,Virginia State University,Dillard University,Alabama State University,Norfolk State University,Bethune-Cookman University,Grambling State University,Winston-Salem State University,Prairie View A & M University,Southern University and A & M College,North Carolina Central University
Berry College,Chatham University,Oglethorpe University,The College of Idaho,John Brown University,Rollins College,Illinois Wesleyan University,Lasell University,University of North Carolina at Asheville,Lake Forest College,Western Colorado University
College of Coastal Georgia,Gordon State College,Indiana University-Kokomo,Texas A&M University-Texarkana,Lewis-Clark State College,Middle Georgia State University,Dickinson State University,Abraham Baldwin Agricultural College,Arkansas Tech University,Louisiana State University-Alexandria,Indiana University-South Bend
Clayton  State University,Valdosta State University,Indiana University-South Bend,Governors State University,Columbus State University,McNeese State University,University of Michigan-Flint,University of South Carolina-Upstate,Auburn University at Montgomery,University of Arkansas at Little Rock,Northwestern State University of Louisiana
Columbus State University,Youngstown State University,Indiana University-South Bend,University of Wisconsin-Parkside,University of South Carolina-Upstate,McNeese State University,Austin Peay State University,Augusta University,Missouri Southern State University,Rhode Island College,University of Arkansas at Little Rock
Covenant College,Earlham College,Cornell College,Transylvania University,University of Mary Washington,Beloit College,Goucher College,University of Puget Sound,Hastings College,Wheaton College,Monmouth College
Emory University,Southern Methodist University,University of Notre Dame,Duke University,Tufts University,Boston College,Washington University in St Louis,Case Western Reserve University,University of Pennsylvania,University of North Carolina at Chapel Hill,Stony Brook University
Fort Valley State University,University of Arkansas at Pine Bluff,Alcorn State University,Grambling State University,Kentucky State University,Lincoln University,Southern University and A & M College,Alabama A & M University,Virginia State University,Bethune-Cookman University,Elizabeth City State University
Georgia Institute of Technology-Main Campus,Northeastern University,Boston University,Case Western Reserve University,University of Pennsylvania,Washington University in St Louis,University of North Carolina at Chapel Hill,Columbia University in the City of New York,University of Southern California,Massachusetts Institute of Technology,University of Michigan-Ann Arbor
Georgia Southwestern State University,Shepherd University,Friends University,Millikin University,Southwest Minnesota State University,Minot State University,Upper Iowa University,University of Illinois Springfield,Lander University,University of South Carolina Aiken,University of Wisconsin-Parkside
Georgia College & State University,University of Wisconsin-La Crosse,University of South Dakota,University of Southern Indiana,University of Wisconsin-Eau Claire,University of Central Arkansas,Salisbury University,SUNY Brockport,Winona State University,University of Northern Colorado,University of Minnesota-Duluth
Georgia Southern University,Western Kentucky University,Kent State University at Kent,Eastern Michigan University,East Tennessee State University,Southern Illinois University-Edwardsville,Illinois State University,West Virginia University,Towson University,The University of Tennessee-Chattanooga,Western Michigan University
Georgia State University,Wayne State University,University of Colorado Denver/Anschutz Medical Campus,University of Nevada-Las Vegas,Kennesaw State University,George Mason University,University of Massachusetts-Boston,Virginia Commonwealth University,Middle Tennessee State University,University of Wisconsin-Milwaukee,University of North Florida
University of Georgia,University of Maryland-College Park,University of South Carolina-Columbia,North Carolina State University at Raleigh,Clemson University,Indiana University-Bloomington,Ohio State University-Main Campus,Rutgers University-New Brunswick,The University of Tennessee-Knoxville,University of Wisconsin-Madison,The University of Alabama
Gordon State College,Minot State University,College of Coastal Georgia,Georgia Southwestern State University,Shepherd University,Abraham Baldwin Agricultural College,Concord University,Indiana University-South Bend,Middle Georgia State University,University of Wisconsin-Superior,Southwest Minnesota State University
Life University,Concord University,Southern Virginia University,Henderson State University,Delta State University,Northwestern Oklahoma State University,Francis Marion University,College of Coastal Georgia,West Liberty University,Gordon State College,Kentucky State University
Mercer University,Hofstra University,Quinnipiac University,Butler University,University of Hartford,Ramapo College of New Jersey,Stetson University,Widener University,Ithaca College,Rider University,The College of New Jersey
Morehouse College,Howard University,Tuskegee University,Saint Johns University,Marietta College,Oglethorpe University,Berry College,Chatham University,The College of Idaho,Catawba College,Fisk University
Oglethorpe University,Berry College,Lake Forest College,University of North Carolina at Asheville,Illinois Wesleyan University,Chatham University,Alfred University,Lasell University,University of Pittsburgh-Johnstown,John Brown University,Birmingham-Southern College
Piedmont University,Gardner-Webb University,Anderson University,Charleston Southern University,Midland University,Buena Vista University,Catawba College,Capital University,Mount Vernon Nazarene University,Franklin Pierce University,MidAmerica Nazarene University
Savannah College of Art and Design,Maryland Institute College of Art,Ohio University-Main Campus,University of Arkansas,University of Rhode Island,University of Nebraska-Lincoln,Oklahoma State University-Main Campus,University of Kentucky,Pace University,Montana State University,University of Kansas
Shorter University,Hardin-Simmons University,Charleston Southern University,Carson-Newman University,Tusculum University,Averett University,Georgetown College,Central Methodist University-College of Liberal Arts and Sciences,Oklahoma Baptist University,Malone University,Concord University
Thomas University,The Christ College of Nursing and Health Sciences,Aultman College of Nursing and Health Sciences,West Liberty University,Upper Iowa University,Cabarrus College of Health Sciences,Columbus State University,University of South Carolina-Upstate,Keuka College,Indiana University-South Bend,Minnesota State University Moorhead
Toccoa Falls College,Truett McConnell University,Maranatha Baptist University,Williams Baptist University,Faith Baptist Bible College and Theological Seminary,Blue Mountain Christian University,Hannibal-LaGrange University,Oakland City University,Culver-Stockton College,Sterling College,Mount Marty University
Truett McConnell University,Blue Mountain Christian University,Toccoa Falls College,Hannibal-LaGrange University,Williams Baptist University,Louisiana Christian University,Sterling College,Dakota Wesleyan University,Culver-Stockton College,Mount Marty University,Gardner-Webb University
