input_school,similar1,similar2,similar3,similar4,similar5,similar6,similar7,similar8,similar9,similar10
University of Illinois Chicago,University of Houston,University of Nevada-Las Vegas,George Mason University,University of Massachusetts-Boston,Wayne State University,University of Colorado Denver/Anschutz Medical Campus,Florida Atlantic University,University of Arizona,Texas A & M University-College Station,Florida International University
University of Illinois Urbana-Champaign,University of Maryland-College Park,University of Florida,University of Michigan-Ann Arbor,North Carolina State University at Raleigh,Ohio State University-Main Campus,Rutgers University-New Brunswick,Purdue University-Main Campus,University of Wisconsin-Madison,University of Georgia,Clemson University
Illinois Wesleyan University,Rollins College,Lake Forest College,John Brown University,Wheaton College (Massachusetts),Berry College,Oglethorpe University,Alfred University,Juniata College,The College of Idaho,Nazareth College
Illinois College,Muskingum University,Arcadia University,Buena Vista University,Waynesburg University,Otterbein University,Queens University of Charlotte,Maryville College,Tusculum University,Presbyterian College,Spring Hill College
Illinois Institute of Technology,Rensselaer Polytechnic Institute,Michigan Technological University,Clarkson University,Wentworth Institute of Technology,Florida Institute of Technology,Rose-Hulman Institute of Technology,Bentley University,Missouri University of Science and Technology,Colorado School of Mines,Hofstra University
Illinois State University,Kent State University at Kent,Appalachian State University,Grand Valley State University,Bowling Green State University-Main Campus,Western Kentucky University,University of Arkansas,West Virginia University,Western Michigan University,West Chester University of Pennsylvania,Ohio University-Main Campus
Judson University,Hardin-Simmons University,Shorter University,Carson-Newman University,Oklahoma Baptist University,Georgetown College,Howard Payne University,Charleston Southern University,Averett University,Texas Lutheran University,MidAmerica Nazarene University
Knox College,Lake Forest College,Hobart William Smith Colleges,Wheaton College (Massachusetts),Lawrence University,Goucher College,Ursinus College,Washington College,Kalamazoo College,Illinois Wesleyan University,DePauw University
Lake Forest College,Wheaton College (Massachusetts),Illinois Wesleyan University,Knox College,Rollins College,Washington College,Ursinus College,Oglethorpe University,Kalamazoo College,Gettysburg College,DePauw University
Lewis University,Iona University,Saint Mary's University of Minnesota,Fitchburg State University,The College of Saint Scholastica,Seton Hall University,SUNY College at Plattsburgh,Salem State University,Worcester State University,Immaculata University,Saginaw Valley State University
Loyola University Chicago,Marquette University,Seton Hall University,Creighton University,University of Delaware,Loyola University Maryland,Gonzaga University,Seattle University,Pace University,University of Denver,Saint Joseph's University
Millikin University,Shepherd University,Georgia Southwestern State University,Friends University,Point Park University,Minot State University,University of Illinois Springfield,Marymount Manhattan College,Saginaw Valley State University,Northwood University,Upper Iowa University
Monmouth College,Hastings College,William Peace University,Maryville College,Franklin College,Arcadia University,Randolph College,Transylvania University,Houghton University,Hanover College,University of the Ozarks
North Central College,University of Evansville,Nebraska Wesleyan University,Ohio Wesleyan University,Birmingham-Southern College,Otterbein University,Randolph-Macon College,Carthage College,Lebanon Valley College,Aquinas College,Methodist University
North Park University,Southern Adventist University,Texas Lutheran University,Azusa Pacific University,Spring Hill College,University of Connecticut-Stamford,Gardner-Webb University,Walsh University,Anderson University,Malone University,Piedmont University
Northwestern University,Cornell University,University of Southern California,Johns Hopkins University,Washington University in St Louis,University of Pennsylvania,Tulane University of Louisiana,University of Michigan-Ann Arbor,University of Virginia-Main Campus,University of Miami,University of Maryland-College Park
Principia College,William Jewell College,University of Missouri-St Louis,Christopher Newport University,Florida College,Lake Erie College,Rollins College,University of Idaho,Webster University,Georgia College & State University,Randolph College
Rockford University,University of Saint Mary,Keystone College,Georgia Southwestern State University,Shepherd University,Avila University,Upper Iowa University,Friends University,Francis Marion University,Millikin University,Sterling College
Roosevelt University,Western Connecticut State University,West Texas A & M University,Colorado State University Pueblo,William Paterson University of New Jersey,Texas A & M University-Corpus Christi,University of Bridgeport,Eastern New Mexico University-Main Campus,Fairleigh Dickinson University-Metropolitan Campus,University of West Georgia,Indiana University-Northwest
Dominican University,University of the Incarnate Word,University of Saint Francis-Fort Wayne,Felician University,Saint Edward's University,Caldwell University,College of Mount Saint Vincent,Holy Family University,Regis University,Roosevelt University,Indiana University-Northwest
University of St Francis,Caldwell University,Felician University,Immaculata University,College of Mount Saint Vincent,Gwynedd Mercy University,DeSales University,Regis University,Rockhurst University,Mount Saint Joseph University,Mount Mercy University
University of Illinois Springfield,Flagler College,Shepherd University,Georgia Southwestern State University,Friends University,Millikin University,Salem State University,University of Wisconsin-Parkside,Black Hills State University,The University of Tennessee-Chattanooga,Lancaster Bible College
Southern Illinois University-Carbondale,Radford University,Indiana University of Pennsylvania-Main Campus,Northwest Missouri State University,University of Central Missouri,Eastern Illinois University,University of Hartford,University of Nebraska at Kearney,Longwood University,South Dakota State University,Murray State University
Southern Illinois University-Edwardsville,East Tennessee State University,Western Kentucky University,The University of Tennessee-Chattanooga,University of South Alabama,Eastern Michigan University,Western Carolina University,University of Toledo,University of Mississippi,Grand Valley State University,Western Michigan University
Trinity Christian College,Dakota Wesleyan University,Clarke University,Concordia University Ann Arbor,Eastern Nazarene College,Greenville University,Elmira College,Buena Vista University,Ferrum College,Bethel College-North Newton,Hannibal-LaGrange University
Trinity International University-Illinois,Belmont Abbey College,Grace College and Theological Seminary,Charleston Southern University,Palm Beach Atlantic University,University of Pittsburgh-Bradford,La Roche University,Saint Ambrose University,Gardner-Webb University,Malone University,Aquinas College
Wheaton College,Wofford College,Furman University,Muhlenberg College,Westmont College,St Olaf College,Lawrence University,Pacific Lutheran University,Wheaton College (Massachusetts),Rhodes College,Lewis & Clark College
Anderson University,Capital University,Piedmont University,Charleston Southern University,Saint Ambrose University,Mount Vernon Nazarene University,La Roche University,Malone University,Spring Hill College,Seton Hill University,Gardner-Webb University
Ball State University,Rowan University,West Chester University of Pennsylvania,Appalachian State University,Pace University,Kent State University at Kent,University of Mississippi,Ohio University-Main Campus,Central Michigan University,Illinois State University,University of Rhode Island
Butler University,Elon University,Hofstra University,Drake University,Quinnipiac University,The College of New Jersey,Marist College,Ramapo College of New Jersey,Stetson University,Ithaca College,Endicott College
DePauw University,University of Puget Sound,Lawrence University,Lake Forest College,Furman University,Rollins College,St. Mary's College of Maryland,Knox College,Denison University,Ursinus College,Hobart William Smith Colleges
Earlham College,Covenant College,Cornell College,Millsaps College,Transylvania University,Centenary College of Louisiana,Hendrix College,Beloit College,Allegheny College,Hastings College,Kalamazoo College
University of Evansville,Nebraska Wesleyan University,North Central College,Oklahoma City University,Lebanon Valley College,Otterbein University,Ohio Northern University,Queens University of Charlotte,Birmingham-Southern College,Methodist University,Milligan University
Franklin College,Randolph College,Monmouth College,Houghton University,Kentucky Wesleyan College,Transylvania University,Huntingdon College,Hastings College,Cornell College,Maryville College,Eastern Nazarene College
Goshen College,Texas Lutheran University,Elmhurst University,Western Connecticut State University,Maryville College,Saint Edward's University,Regis University,Northwest Nazarene University,University of St Francis,Hastings College,Howard Payne University
Grace College and Theological Seminary,Aquinas College,Trinity International University-Illinois,Palm Beach Atlantic University,Mount Vernon Nazarene University,Hardin-Simmons University,Indiana Wesleyan University-Marion,Northwest Nazarene University,Freed-Hardeman University,University of Mary,Castleton University
Hanover College,Arcadia University,Queens University of Charlotte,Presbyterian College,Ohio Wesleyan University,Berry College,Roanoke College,Eckerd College,The College of Idaho,Lebanon Valley College,Emmanuel College
Holy Cross College,Thomas Aquinas College,Florida College,Houghton University,Clarke University,Soka University of America,Immaculata University,University of Mary,Emmanuel College,Centenary College of Louisiana,Elmira College
Huntington University,Otterbein University,Anderson University,Mount Vernon Nazarene University,Capital University,Indiana Wesleyan University-Marion,Malone University,Piedmont University,Seton Hill University,Midland University,Saint Ambrose University
Purdue University Fort Wayne,Indiana University-Southeast,University of Colorado Colorado Springs,Purdue University Northwest,University of Missouri-St Louis,University of Southern Maine,University of Arkansas at Little Rock,Indiana University-South Bend,Nicholls State University,University of South Carolina-Upstate,Youngstown State University
Indiana University-Purdue University-Indianapolis,Oakland University,University of Louisville,Northern Kentucky University,Wichita State University,University of Wisconsin-Milwaukee,Middle Tennessee State University,Minnesota State University-Mankato,University of North Florida,University of Akron Main Campus,University of Alabama at Birmingham
University of Southern Indiana,The University of Texas at Tyler,Saint Cloud State University,University of South Dakota,Georgia College & State University,Saginaw Valley State University,University of Central Arkansas,University of Northern Iowa,University of Wisconsin-Oshkosh,University of Louisiana at Monroe,Winona State University
Indiana University-Kokomo,Lewis-Clark State College,Indiana University-East,Indiana University-Northwest,Texas A&M University-Texarkana,Dickinson State University,The University of Texas at Tyler,College of Coastal Georgia,Indiana University-South Bend,Concordia University Texas,Indiana University-Southeast
Indiana University-South Bend,University of Arkansas at Little Rock,Augusta University,Indiana University-Southeast,University of South Carolina-Upstate,Missouri Southern State University,Columbus State University,University of Southern Maine,Rhode Island College,Austin Peay State University,University of Michigan-Flint
Indiana University-Bloomington,University of South Carolina-Columbia,University of Georgia,Michigan State University,University of Cincinnati-Main Campus,Rutgers University-New Brunswick,The University of Tennessee-Knoxville,University of Colorado Boulder,The University of Alabama,Miami University-Oxford,University of Oklahoma-Norman Campus
Indiana University-Northwest,Indiana University-Kokomo,Mercy College,University of Bridgeport,Indiana University-East,Aurora University,Dominican University New York,Western Connecticut State University,Lewis-Clark State College,Indiana University-South Bend,Colorado State University Pueblo
Indiana University-Southeast,University of Wisconsin-Parkside,Indiana University-South Bend,University of Southern Maine,University of Colorado Colorado Springs,Louisiana State University-Shreveport,Purdue University Fort Wayne,University of South Carolina-Upstate,Augusta University,Nicholls State University,University of Arkansas at Little Rock
Indiana University-East,Indiana University-Kokomo,Indiana University-Northwest,Indiana University-Southeast,Georgia Southwestern State University,Dickinson State University,Indiana University-South Bend,Texas A&M University-Texarkana,University of Wisconsin-Parkside,University of Illinois Springfield,University of South Carolina-Upstate
Indiana Wesleyan University-Marion,Mount Vernon Nazarene University,Northwest Nazarene University,Freed-Hardeman University,Ouachita Baptist University,University of Mary,Palm Beach Atlantic University,Oklahoma City University,Nebraska Wesleyan University,Dordt University,University of Northwestern-St Paul
University of Notre Dame,Boston College,Tufts University,Georgetown University,Fordham University,Emory University,Washington University in St Louis,Villanova University,Santa Clara University,University of Pennsylvania,Northeastern University
Oakland City University,York University,Florida College,Sterling College,Williams Baptist University,Dakota Wesleyan University,Toccoa Falls College,Truett McConnell University,Hannibal-LaGrange University,Warner University,Greenville University
Rose-Hulman Institute of Technology,Colorado School of Mines,South Dakota School of Mines and Technology,Kettering University,Illinois Institute of Technology,Rensselaer Polytechnic Institute,Sarah Lawrence College,Stevens Institute of Technology,Missouri University of Science and Technology,Babson College,Webb Institute
University of Saint Francis-Fort Wayne,Holy Family University,Carlow University,Ursuline College,Spalding University,Mount Mercy University,Gwynedd Mercy University,Franciscan Missionaries of Our Lady University,La Roche University,Concordia University Texas,Alvernia University
Saint Mary-of-the-Woods College,Ursuline College,Mount Aloysius College,Clarke University,Carlow University,Mount Mercy University,Avila University,Holy Family University,Spalding University,University of Providence,Marian University
Saint Mary's College,College of Saint Benedict,Saint Vincent College,Salve Regina University,Emmanuel College,Meredith College,Franciscan University of Steubenville,Saint Anselm College,Seton Hill University,Le Moyne College,Saint Michael's College
Taylor University,Messiah University,Gordon College,Palm Beach Atlantic University,Hope College,Concordia College at Moorhead,University of Evansville,Benedictine College,Berry College,Rollins College,John Brown University
Valparaiso University,Wagner College,Messiah University,Ohio Northern University,Hope College,Union University,Benedictine College,Illinois Wesleyan University,Queens University of Charlotte,Nazareth College,University of Evansville
Wabash College,Hampden-Sydney College,Beloit College,Virginia Military Institute,Bennington College,Washington College,Washington & Jefferson College,The College of Wooster,St Lawrence University,DePauw University,Hollins University
Buena Vista University,Illinois College,Tusculum University,Waynesburg University,Mount Vernon Nazarene University,Muskingum University,Piedmont University,Malone University,Midland University,Gardner-Webb University,Trinity International University-Illinois
Central College,Augustana College,Wartburg College,Saint Vincent College,Emmanuel College,Capital University,Otterbein University,Hope College,Concordia College at Moorhead,Spring Hill College,Randolph-Macon College
Clarke University,Dakota Wesleyan University,Mount Mercy University,Marian University,Avila University,Culver-Stockton College,Trinity Christian College,Spalding University,Mount Marty University,La Roche University,Marywood University
Cornell College,Ohio Wesleyan University,Centenary College of Louisiana,Millsaps College,Transylvania University,Covenant College,Hastings College,Earlham College,Hendrix College,Drew University,North Central College
Dordt University,Northwest Nazarene University,University of Northwestern-St Paul,University of Mary,Mount Vernon Nazarene University,University of Evansville,Indiana Wesleyan University-Marion,Benedictine College,Oklahoma Christian University,Viterbo University,Taylor University
Drake University,Marist College,Hofstra University,Butler University,Ithaca College,Elon University,Ramapo College of New Jersey,The College of New Jersey,Mercer University,Quinnipiac University,Stetson University
Emmaus Bible College,Appalachian Bible College,Faith Baptist Bible College and Theological Seminary,Boise Bible College,Martin Luther College,Maranatha Baptist University,Trinity Bible College and Graduate School,Toccoa Falls College,Manhattan Christian College,Lancaster Bible College,Urshan College
Faith Baptist Bible College and Theological Seminary,Appalachian Bible College,Maranatha Baptist University,Trinity Baptist College,Emmaus Bible College,Trinity Bible College and Graduate School,Toccoa Falls College,Manhattan Christian College,Urshan College,Martin Luther College,Oakland City University
Grinnell College,Swarthmore College,Amherst College,Colby College,Williams College,Bowdoin College,Pomona College,Whitman College,Hamilton College,Reed College,Washington and Lee University
Iowa State University,University of Arkansas,University of Kentucky,University of Nebraska-Lincoln,Oklahoma State University-Main Campus,Colorado State University-Fort Collins,Mississippi State University,Louisiana State University and Agricultural & Mechanical College,University of Kansas,West Virginia University,Ohio University-Main Campus
University of Iowa,University of Kansas,University of Oklahoma-Norman Campus,James Madison University,University of Kentucky,The University of Tennessee-Knoxville,University of Utah,West Virginia University,Appalachian State University,Louisiana State University and Agricultural & Mechanical College,Ohio University-Main Campus
Luther College,Augustana University,Concordia College at Moorhead,Susquehanna University,Gustavus Adolphus College,Carthage College,Augustana College,Roanoke College,Wittenberg University,Pacific Lutheran University,Capital University
Mount Mercy University,Marian University,Avila University,Marywood University,Immaculata University,Saint Joseph's College of Maine,Gwynedd Mercy University,Thomas More University,Georgian Court University,College of Our Lady of the Elms,Mount Saint Joseph University
University of Northern Iowa,University of Southern Indiana,University of South Dakota,Winona State University,Emporia State University,Saint Cloud State University,Stockton University,Pittsburg State University,Saginaw Valley State University,Minnesota State University Moorhead,Millersville University of Pennsylvania
Saint Ambrose University,Walsh University,Seton Hill University,University of Mary,Aquinas College,King's College,Cabrini University,Emmanuel College,Spring Hill College,Ohio Dominican University,La Roche University
St Luke's College,Aultman College of Nursing and Health Sciences,Mount Carmel College of Nursing,Mercy College of Ohio,The Christ College of Nursing and Health Sciences,Kettering College,Franciscan Missionaries of Our Lady University,Cabarrus College of Health Sciences,Baptist Health Sciences University,University of Health Sciences and Pharmacy in St. Louis,University of Minnesota-Rochester
Simpson College,Virginia Wesleyan University,Otterbein University,Birmingham-Southern College,Nebraska Wesleyan University,University of Evansville,North Central College,Lebanon Valley College,Ohio Wesleyan University,Pacific Lutheran University,Methodist University
Upper Iowa University,Friends University,Georgia Southwestern State University,Shepherd University,Millikin University,Northwood University,Flagler College,West Virginia University Institute of Technology,Minot State University,Mount Mercy University,University of Illinois Springfield
Wartburg College,Carthage College,Capital University,Concordia College at Moorhead,Augustana College,Roanoke College,Augustana University,Central College,Wittenberg University,Wisconsin Lutheran College,Midland University
William Penn University,Wilmington College,Northwestern Oklahoma State University,Malone University,Midland University,Guilford College,Newberry College,Rockford University,Missouri Valley College,Tusculum University,Henderson State University
Baker University,Tennessee Wesleyan University,Thomas More University,Shepherd University,Mount Saint Joseph University,Southwest Minnesota State University,Bellarmine University,Mount Mercy University,Dakota Wesleyan University,University of Evansville,Missouri Baptist University
Benedictine College,University of Mary,Aquinas College,Franciscan University of Steubenville,Walsh University,Emmanuel College,King's College,Saint Vincent College,Le Moyne College,Saint Ambrose University,Seton Hill University
Bethany College,Tabor College,Ottawa University-Ottawa,Huntingdon College,Newberry College,Kentucky Wesleyan College,Sterling College,Williams Baptist University,Midland University,York University,Defiance College
Bethel College-North Newton,Sterling College,Louisiana Christian University,Clarke University,Trinity Christian College,Culver-Stockton College,Bryn Athyn College of the New Church,Greenville University,Dakota Wesleyan University,Elmira College,Erskine College
Emporia State University,University of Northern Iowa,Bemidji State University,Wright State University-Main Campus,University of South Dakota,Winona State University,University of South Carolina Aiken,Saint Cloud State University,Minnesota State University Moorhead,Salem State University,University of Central Arkansas
Fort Hays State University,Youngstown State University,University of Colorado Colorado Springs,University of Southern Maine,University of Missouri-St Louis,Purdue University Northwest,McNeese State University,Indiana University-South Bend,Indiana University-Southeast,Louisiana State University-Shreveport,University of Wisconsin-Parkside
Friends University,Upper Iowa University,Georgia Southwestern State University,Millikin University,Shepherd University,University of Illinois Springfield,West Virginia University Institute of Technology,Flagler College,Northwood University,Bemidji State University,Lancaster Bible College
University of Kansas,University of Oklahoma-Norman Campus,Ohio University-Main Campus,University of Kentucky,University of Iowa,University of Mississippi,West Virginia University,Appalachian State University,James Madison University,University of North Carolina at Charlotte,Grand Valley State University
Manhattan Christian College,Kentucky Mountain Bible College,Calvary University,Trinity Bible College and Graduate School,Faith Baptist Bible College and Theological Seminary,Visible Music College,Johnson University,Appalachian Bible College,Emmaus Bible College,Dallas Christian College,Oklahoma Wesleyan University
McPherson College,Sterling College,Huntingdon College,Eastern Nazarene College,Kentucky Wesleyan College,Louisiana Christian University,Lake Erie College,Greenville University,Bethany College,Tabor College,Pfeiffer University
MidAmerica Nazarene University,Southwest Baptist University,Northwest Nazarene University,Mount Vernon Nazarene University,Charleston Southern University,West Liberty University,Tusculum University,Piedmont University,Tennessee Wesleyan University,Midland University,Gardner-Webb University
Ottawa University-Ottawa,Tabor College,Bethany College,Ottawa University-Surprise,Huntingdon College,York University,Central Baptist College,Clarke University,Sterling College,Williams Baptist University,Pfeiffer University
Pittsburg State University,Bemidji State University,Minnesota State University Moorhead,University of Northern Iowa,Southeast Missouri State University,Ferris State University,Murray State University,Saint Cloud State University,University of South Dakota,Saginaw Valley State University,Emporia State University
University of Saint Mary,Avila University,Marian University,Thomas More University,Carlow University,Mount Mercy University,Saint Joseph's College of Maine,Spalding University,Rockford University,Bellarmine University,Lubbock Christian University
Southwestern College,Methodist University,Oklahoma Wesleyan University,Tennessee Wesleyan University,Baker University,Dakota Wesleyan University,Huntingdon College,Adrian College,Central Baptist College,Kentucky Wesleyan College,Pfeiffer University
Sterling College,Lake Erie College,The University of Tennessee Southern,Lander University,University of South Carolina Aiken,Louisiana Christian University,Georgia Southwestern State University,Kentucky Wesleyan College,William Jewell College,Eastern Nazarene College,Dakota Wesleyan University
Tabor College,Ottawa University-Ottawa,Bethany College,Huntingdon College,York University,Williams Baptist University,Lake Erie College,Sterling College,Central Baptist College,Erskine College,Pfeiffer University
Wichita State University,Northern Kentucky University,University of Akron Main Campus,Oakland University,University of Wisconsin-Milwaukee,Minnesota State University-Mankato,University of North Florida,University of Louisville,Missouri State University-Springfield,Southeastern Louisiana University,Indiana University-Purdue University-Indianapolis
Alice Lloyd College,Sterling College,The University of Tennessee Southern,Defiance College,Williams Baptist University,Lake Erie College,Bethany College,Wingate University,Kentucky Wesleyan College,Blue Mountain Christian University,Florida College
Bellarmine University,DeSales University,Immaculata University,Canisius College,Mount Saint Joseph University,Saint Joseph's College of Maine,Georgian Court University,Walsh University,Christian Brothers University,Avila University,Thomas More University
Berea College,John Brown University,Berry College,University of North Carolina at Asheville,Oglethorpe University,Illinois Wesleyan University,Furman University,College of the Ozarks,The College of Idaho,Brigham Young University-Hawaii,Chatham University
Centre College,College of the Holy Cross,Macalester College,Rhodes College,Lewis & Clark College,Davidson College,The College of Wooster,Trinity University,St Lawrence University,St. Mary's College of Maryland,Lawrence University
University of the Cumberlands,University of West Georgia,Saginaw Valley State University,Charleston Southern University,Middle Georgia State University,Shorter University,University of Mary Hardin-Baylor,University of South Carolina Aiken,Wright State University-Main Campus,Bemidji State University,Hardin-Simmons University
Eastern Kentucky University,Eastern Michigan University,Tarleton State University,East Tennessee State University,Western Kentucky University,Western Carolina University,Georgia Southern University,University of South Alabama,Southern Illinois University-Edwardsville,Bowling Green State University-Main Campus,Western Michigan University
Georgetown College,Charleston Southern University,Hardin-Simmons University,Carson-Newman University,Oklahoma Baptist University,Shorter University,Gardner-Webb University,Spring Hill College,Palm Beach Atlantic University,Capital University,Averett University
Kentucky Mountain Bible College,Manhattan Christian College,Visible Music College,Calvary University,Faith Baptist Bible College and Theological Seminary,Appalachian Bible College,John A Gupton College,Trinity Bible College and Graduate School,Southwestern College,Maranatha Baptist University,Emmaus Bible College
Kentucky State University,University of Arkansas at Pine Bluff,Fayetteville State University,Lincoln University,Fort Valley State University,Concord University,West Virginia State University,Texas Southern University,Elizabeth City State University,Northwestern Oklahoma State University,Henderson State University
Kentucky Wesleyan College,Huntingdon College,Pfeiffer University,Dakota Wesleyan University,Sterling College,Brevard College,West Virginia Wesleyan College,Rocky Mountain College,Louisiana Christian University,Bethany College,Williams Baptist University
University of Kentucky,University of Kansas,University of Arkansas,Ohio University-Main Campus,University of Nebraska-Lincoln,Iowa State University,Colorado State University-Fort Collins,University of Mississippi,Louisiana State University and Agricultural & Mechanical College,Mississippi State University,University of Oklahoma-Norman Campus
Kentucky Christian University,Dallas Christian College,Trinity Baptist College,Sterling College,Warner University,Johnson University,Erskine College,Bethany College,York University,Bethel College-North Newton,Defiance College
University of Louisville,Oakland University,University of Wisconsin-Milwaukee,Indiana University-Purdue University-Indianapolis,Wichita State University,University of North Florida,Missouri State University-Springfield,Minnesota State University-Mankato,Northern Kentucky University,University of Central Oklahoma,University of Akron Main Campus
Midway University,Culver-Stockton College,Tennessee Wesleyan University,Thomas More University,Georgia Southwestern State University,Marian University,William Jessup University,Baker University,Mount Mercy University,Husson University,Avila University
Murray State University,Southeast Missouri State University,Saginaw Valley State University,Slippery Rock University of Pennsylvania,Arkansas State University,University of Wisconsin-River Falls,Saint Cloud State University,University of Wisconsin-Platteville,Central Connecticut State University,University of Southern Indiana,Pittsburg State University
Northern Kentucky University,Wichita State University,Oakland University,University of Wisconsin-Milwaukee,Cleveland State University,University of Akron Main Campus,Minnesota State University-Mankato,Indiana University-Purdue University-Indianapolis,University of North Florida,Southeastern Louisiana University,Missouri State University-Springfield
The Southern Baptist Theological Seminary,Southeastern Baptist Theological Seminary,Lancaster Bible College,Truett McConnell University,Missouri Baptist University,Dakota State University,The Baptist College of Florida,Southwest Minnesota State University,Faith Baptist Bible College and Theological Seminary,Thomas More University,Friends University
Spalding University,Carlow University,Marian University,Mount Mercy University,Marywood University,Avila University,University of Saint Mary,Gwynedd Mercy University,Saint Joseph's College of Maine,Georgian Court University,University of Saint Francis-Fort Wayne
Thomas More University,Mount Mercy University,Belmont Abbey College,Mount Saint Joseph University,Bellarmine University,Baker University,Immaculata University,University of Saint Mary,Shepherd University,Christian Brothers University,DeSales University
Transylvania University,Cornell College,Monmouth College,Millsaps College,Houghton University,Hastings College,Covenant College,University of Lynchburg,Earlham College,Drury University,Franklin College
Western Kentucky University,Eastern Michigan University,Southern Illinois University-Edwardsville,Georgia Southern University,Kent State University at Kent,Western Michigan University,East Tennessee State University,West Virginia University,Illinois State University,University of Mississippi,Western Carolina University
Centenary College of Louisiana,Millsaps College,Birmingham-Southern College,Cornell College,Lycoming College,Florida Southern College,Hastings College,Houghton University,Maryville College,Oglethorpe University,William Peace University
Dillard University,Lincoln University,Bethune-Cookman University,Clark Atlanta University,West Virginia Wesleyan College,Lycoming College,Otterbein University,Alcorn State University,Adrian College,Central Methodist University-College of Liberal Arts and Sciences,Nebraska Wesleyan University
Grambling State University,Alabama A & M University,Southern University and A & M College,Alabama State University,North Carolina Central University,Jackson State University,Virginia State University,Fort Valley State University,Winston-Salem State University,Prairie View A & M University,Delaware State University
Louisiana State University-Alexandria,Indiana University-Kokomo,Northeastern State University,College of Coastal Georgia,University of Science and Arts of Oklahoma,Indiana University-East,Texas A&M University-Texarkana,Dickinson State University,Southeastern Oklahoma State University,Francis Marion University,Lewis-Clark State College
Louisiana State University and Agricultural & Mechanical College,The University of Tennessee-Knoxville,University of Oklahoma-Norman Campus,University of Arkansas,University of Cincinnati-Main Campus,University of Kentucky,Mississippi State University,Colorado State University-Fort Collins,University of Utah,University of Nebraska-Lincoln,The University of Alabama
Louisiana State University-Shreveport,Indiana University-Southeast,University of Wisconsin-Parkside,Indiana University-South Bend,Augusta University,Nicholls State University,University of South Carolina-Upstate,McNeese State University,Northwestern State University of Louisiana,Austin Peay State University,University of Southern Maine
Louisiana Christian University,Hannibal-LaGrange University,Williams Baptist University,Sterling College,Truett McConnell University,Pfeiffer University,Blue Mountain Christian University,Southwest Baptist University,Gardner-Webb University,Kentucky Wesleyan College,Concordia University Ann Arbor
Louisiana Tech University,Tennessee Technological University,University of Idaho,University of Maine,University of Wisconsin-Platteville,University of Minnesota-Duluth,Georgia College & State University,University of Wisconsin-La Crosse,SUNY College at Plattsburgh,University of Alabama in Huntsville,Saint Cloud State University
McNeese State University,Augusta University,University of Wisconsin-Parkside,Youngstown State University,Austin Peay State University,Northwestern State University of Louisiana,University of Southern Maine,Columbus State University,Purdue University Northwest,University of Arkansas at Little Rock,The University of West Florida
University of New Orleans,Wright State University-Main Campus,University of South Carolina Aiken,University of West Georgia,The University of Texas at Tyler,Saint Cloud State University,Central Connecticut State University,University of Wisconsin-Green Bay,University of Central Arkansas,Coastal Carolina University,Minnesota State University Moorhead
Nicholls State University,Northwestern State University of Louisiana,Purdue University Northwest,University of South Carolina-Upstate,Youngstown State University,McNeese State University,Augusta University,Indiana University-Southeast,Indiana University-South Bend,University of Arkansas at Little Rock,Austin Peay State University
University of Louisiana at Monroe,Saginaw Valley State University,The University of Texas at Tyler,University of South Dakota,Arkansas State University,University of Southern Indiana,Winona State University,Bemidji State University,University of Central Arkansas,University of South Carolina Aiken,Georgia College & State University
Northwestern State University of Louisiana,Austin Peay State University,McNeese State University,Youngstown State University,Augusta University,Nicholls State University,Missouri Southern State University,University of South Carolina-Upstate,University of Arkansas at Little Rock,Purdue University Northwest,Indiana University-South Bend
Franciscan Missionaries of Our Lady University,Mount Carmel College of Nursing,Kettering College,Mercy College of Ohio,Aultman College of Nursing and Health Sciences,Ursuline College,The Christ College of Nursing and Health Sciences,Gwynedd Mercy University,Mount Aloysius College,University of Saint Francis-Fort Wayne,Cabarrus College of Health Sciences
Southeastern Louisiana University,University of Central Oklahoma,Minnesota State University-Mankato,University of Akron Main Campus,Wichita State University,Northern Kentucky University,University of North Florida,University of North Georgia,University of Wisconsin-Milwaukee,Middle Tennessee State University,Oakland University
Southern University and A & M College,Alabama A & M University,Prairie View A & M University,Winston-Salem State University,North Carolina Central University,Alabama State University,Grambling State University,Virginia State University,Delaware State University,Fayetteville State University,Texas Southern University
Southern University at New Orleans,Coppin State University,Gordon State College,Kentucky State University,North Carolina Central University,Mississippi Valley State University,Fayetteville State University,Jackson State University,Minot State University,West Virginia State University,Morgan State University
Tulane University of Louisiana,University of Miami,University of Denver,Northwestern University,University of Virginia-Main Campus,Bucknell University,Boston University,Clemson University,University of Maryland-College Park,University of Pittsburgh-Pittsburgh Campus,University of Michigan-Ann Arbor
Xavier University of Louisiana,La Salle University,University of Mary Hardin-Baylor,Fisk University,Francis Marion University,Siena College,Hampton University,St. John Fisher University,Norfolk State University,La Roche University,Dillard University
Bates College,Middlebury College,Hamilton College,Colby College,Colorado College,Vassar College,Grinnell College,Davidson College,Bowdoin College,Wesleyan University,Swarthmore College
Bowdoin College,Amherst College,Williams College,Swarthmore College,Colby College,Pomona College,Grinnell College,Washington and Lee University,Haverford College,Middlebury College,Bates College
Colby College,Swarthmore College,Washington and Lee University,Colorado College,Pomona College,Bowdoin College,Grinnell College,Bates College,Colgate University,Hamilton College,Middlebury College
