INSTNM,ACCREDAGENCY,ADM_RATE,SAT_AVG,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,PCTPELL,C150_4,C150_L4,CCSIZSET,HBCU,PBI,ANNHI,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,PCTFLOAN,DEBT_MDN,D_PCTPELL_PCTFLOAN,GRADS,STUFACR,SATVR50,SATMT50,ACTCM50,ACTEN50,ACTMT50
Boston College,New England Commission on Higher Education,0.1666,1500.0,0.0,0.0128,0.0,0.0021,0.0722,0.0,0.0577,0.0,0.0145,0.0,0.0,0.0051,0.0,0.0,0.0286,0.0,0.0,0.1299,0.0265,0.0,0.0363,0.0,0.0184,0.0038,0.0132,0.0,0.0962,0.0017,0.0,0.1919,0.0,0.0,0.0,0.0,0.0098,0.0449,0.2145,0.0197,9751.0,0.1267,0.9092,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.3259,17962,9816.0,5305.0,12.0,730.0,760.0,34.0,35.0,32.0
Boston University,New England Commission on Higher Education,0.1437,1454.0,0.0,0.0045,0.0027,0.0029,0.1358,0.0,0.065,0.0002,0.013,0.0864,0.0002,0.0091,0.0,0.0031,0.0154,0.0,0.0,0.1051,0.0261,0.0,0.0268,0.0,0.0089,0.0019,0.0113,0.0,0.0494,0.0058,0.0016,0.1486,0.0,0.0,0.0,0.0,0.0329,0.0626,0.1726,0.008,17668.0,0.1721,0.8896,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2389,21500,18229.0,18255.0,11.0,700.0,740.0,33.0,34.0,31.0
Brandeis University,New England Commission on Higher Education,0.3941,1473.0,0.0,0.0187,0.0,0.0339,0.0,0.0,0.083,0.0,0.0105,0.0,0.0,0.0094,0.0,0.0,0.0246,0.0,0.0,0.1895,0.0573,0.0,0.0421,0.0,0.0222,0.0,0.0269,0.0,0.0877,0.0,0.1041,0.1918,0.0,0.0,0.0,0.0,0.0351,0.0,0.0433,0.0199,3675.0,0.1571,0.8734,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3105,23250,3591.0,1894.0,10.0,720.0,750.0,33.0,34.0,31.0
Bridgewater State University,New England Commission on Higher Education,0.8771,1110.0,0.0,0.0,0.0,0.0021,0.0677,0.0,0.0231,0.0,0.1674,0.0,0.0,0.0031,0.0,0.0,0.0304,0.0,0.0,0.0336,0.0236,0.0,0.0016,0.0005,0.0021,0.0,0.0262,0.0,0.1354,0.0881,0.0477,0.0462,0.0,0.0,0.0,0.0131,0.0283,0.0509,0.1752,0.0336,7911.0,0.3146,0.5606,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7004,18746,8369.0,1488.0,17.0,560.0,550.0,22.0,,
Bristol Community College,New England Commission on Higher Education,,,0.0085,0.0,0.0,0.0047,0.0104,0.0,0.0445,0.0076,0.0483,0.0199,0.0133,0.0066,0.0,0.0104,0.0,0.3289,0.0,0.036,0.0,0.0,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0976,0.0303,0.0,0.0,0.0,0.0,0.0,0.0417,0.163,0.1223,0.0,4920.0,0.471,,0.2179,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3273,5250,5977.0,,14.0,,,,,
Signature Healthcare Brockton Hospital School of Nursing,Accreditation Commission for Education in Nursing,0.0909,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,150.0,0.4115,,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6549,15555,226.0,,7.0,,,,,
Bunker Hill Community College,New England Commission on Higher Education,,,0.0,0.0045,0.0,0.0,0.009,0.0,0.1257,0.0173,0.0504,0.0271,0.0008,0.006,0.0,0.0068,0.009,0.1384,0.0,0.0361,0.0045,0.0,0.0083,0.0053,0.0,0.0,0.0053,0.0,0.0534,0.0459,0.015,0.0166,0.0,0.0098,0.0,0.0,0.0369,0.1911,0.1731,0.0038,7260.0,0.3921,,0.1685,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0533,5500,9233.0,,19.0,,,,,
Cambridge College,New England Commission on Higher Education,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0613,0.0,0.0,0.0,0.0,0.0,0.0766,0.0153,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.1226,0.5517,0.0,656.0,0.335,0.0,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.4433,14917,988.0,1295.0,8.0,,,,,
Cape Cod Community College,New England Commission on Higher Education,,,0.0041,0.0,0.0,0.0,0.0144,0.0,0.0287,0.0287,0.0329,0.0082,0.0308,0.0021,0.0,0.0041,0.0082,0.1643,0.0,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0041,0.0,0.0185,0.0616,0.0493,0.0062,0.0,0.1253,0.0,0.0,0.0103,0.3039,0.0801,0.0062,1998.0,0.312,,0.2308,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.088,6443,2510.0,,9.0,,,,,
Catherine Hinds Institute of Esthetics,Accrediting Commission of Career Schools and Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.4776,,0.9375,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7306,5500,245.0,,12.0,,,,,
