INSTNM,ACCREDAGENCY,ADM_RATE,SAT_AVG,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,PCTPELL,C150_4,C150_L4,CCSIZSET,HBCU,PBI,ANNHI,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,PCTFLOAN,DEBT_MDN,D_PCTPELL_PCTFLOAN,GRADS,STUFACR,SATVR50,SATMT50,ACTCM50,ACTEN50,ACTMT50
Alabama A & M University,Southern Association of Colleges and Schools Commission on Colleges,0.684,920.0,0.0333,0.0157,0.0059,0.0,0.0,0.0333,0.0802,0.0,0.0391,0.1076,0.0157,0.0,0.0235,0.0,0.0117,0.0176,0.0,0.1644,0.002,0.0,0.0,0.0333,0.0,0.0,0.0117,0.0,0.0744,0.09,0.0431,0.0313,0.0,0.0,0.0,0.0,0.0137,0.0,0.1526,0.0,5196.0,0.6536,0.2678,,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5351,16600,5107.0,801.0,19.0,470.0,450.0,17.0,16.0,16.0
University of Alabama at Birmingham,Southern Association of Colleges and Schools Commission on Colleges,0.8668,1291.0,0.0,0.0,0.0,0.0007,0.0269,0.0,0.0241,0.0,0.067,0.06,0.0,0.0073,0.0,0.0,0.0157,0.0328,0.0,0.125,0.0063,0.0,0.0,0.0,0.0052,0.0,0.0227,0.0003,0.0792,0.0353,0.0175,0.0265,0.0,0.0,0.0,0.0,0.0248,0.2213,0.1934,0.008,12776.0,0.3308,0.6442,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.4132,15832,13547.0,8607.0,18.0,650.0,650.0,27.0,27.0,25.0
Amridge University,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2065,0.0,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2283,0.0,0.0,0.0,0.0978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4565,0.0,228.0,0.7769,0.5,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.5896,13385,251.0,419.0,12.0,,,,,
University of Alabama in Huntsville,Southern Association of Colleges and Schools Commission on Colleges,0.781,1259.0,0.0,0.0,0.0,0.0,0.0061,0.0,0.0906,0.0,0.0085,0.2924,0.0,0.0122,0.0,0.0,0.017,0.0,0.0,0.0553,0.0152,0.0,0.0201,0.0219,0.0018,0.0,0.0413,0.0,0.0249,0.0,0.0,0.0249,0.0,0.0,0.0,0.0,0.0535,0.1119,0.1945,0.0079,6985.0,0.2173,0.6295,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3414,13905,7569.0,2068.0,17.0,650.0,685.0,26.0,28.0,26.0
Alabama State University,Southern Association of Colleges and Schools Commission on Colleges,0.966,963.0,0.0,0.0,0.0,0.0,0.0604,0.0,0.075,0.0,0.0625,0.0104,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.1271,0.0063,0.0,0.0958,0.0146,0.0,0.0,0.0063,0.0,0.0521,0.1229,0.0438,0.0271,0.0,0.0,0.0,0.0,0.0604,0.05,0.15,0.0104,3296.0,0.6976,0.2773,,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7671,17500,3499.0,532.0,14.0,480.0,455.0,18.0,17.0,16.0
The University of Alabama,Southern Association of Colleges and Schools Commission on Colleges,0.8006,1304.0,0.0,0.0036,0.0,0.0016,0.0944,0.0,0.0139,0.0,0.0243,0.1235,0.0,0.0042,0.0798,0.0,0.0105,0.0,0.0,0.0341,0.0095,0.0,0.0141,0.0268,0.0028,0.0,0.0095,0.0,0.0403,0.0,0.0111,0.0786,0.0,0.0,0.0,0.0,0.021,0.1008,0.2868,0.0087,31360.0,0.1788,0.7276,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3388,17986,31685.0,6186.0,19.0,630.0,630.0,28.0,28.0,26.0
Central Alabama Community College,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0429,0.0446,0.0,0.0,0.0179,0.0,0.0054,0.0,0.0,0.3696,0.0,0.0,0.0,0.0,0.0321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0607,0.2143,0.0,0.0,0.1893,0.0232,0.0,963.0,0.2985,,0.2165,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1508,5500,1578.0,,16.0,,,,,
Athens State University,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0289,0.0,0.3579,0.0,0.0,0.0,0.0,0.0,0.0211,0.0684,0.0,0.0132,0.0158,0.0,0.0158,0.0039,0.0039,0.0,0.0,0.0,0.0158,0.0158,0.0,0.0197,0.0,0.0,0.0,0.0,0.025,0.0211,0.3632,0.0105,2465.0,0.4127,,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.4306,14861,2559.0,374.0,14.0,,,,,
Auburn University at Montgomery,Southern Association of Colleges and Schools Commission on Colleges,0.9223,1051.0,0.0,0.0162,0.0,0.0,0.0192,0.0,0.0708,0.0,0.0546,0.0,0.0,0.0044,0.0,0.0,0.0192,0.0,0.0,0.0619,0.0044,0.0,0.0664,0.0649,0.0,0.0,0.0147,0.0,0.0693,0.0605,0.0,0.0324,0.0,0.0,0.0,0.0,0.0339,0.233,0.1652,0.0088,3307.0,0.4589,0.3584,,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.488,13119,4086.0,1355.0,15.0,540.0,530.0,20.0,21.0,18.0
Auburn University,Southern Association of Colleges and Schools Commission on Colleges,0.4374,1292.0,0.0378,0.0187,0.018,0.0,0.0523,0.0,0.038,0.0,0.0449,0.1786,0.0,0.0046,0.0371,0.0057,0.0069,0.0002,0.0,0.1051,0.0058,0.0,0.0118,0.0,0.0011,0.0,0.0099,0.0,0.0276,0.0,0.0079,0.0316,0.0,0.0,0.0,0.0212,0.0327,0.0616,0.2364,0.0046,25234.0,0.1254,0.8075,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2787,17750,24931.0,6385.0,20.0,650.0,650.0,27.0,28.0,26.0
Birmingham-Southern College,Southern Association of Colleges and Schools Commission on Colleges,0.5717,1218.0,0.0,0.0076,0.0114,0.0,0.0418,0.0,0.0418,0.0,0.0304,0.0038,0.0,0.0114,0.0,0.0,0.0304,0.0,0.0,0.0951,0.0266,0.0,0.0342,0.0,0.0114,0.0,0.0114,0.0,0.0951,0.0,0.0,0.0875,0.0,0.0,0.0,0.0,0.0798,0.0875,0.251,0.0418,968.0,0.2268,0.6463,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.6427,16000,1058.0,,10.0,620.0,590.0,25.0,25.0,24.0
Chattahoochee Valley Community College,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0139,0.0,0.0,0.0,0.0635,0.0,0.0046,0.0,0.0,0.4721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0697,0.0,0.0,0.0,0.0,0.0,0.0,0.0139,0.2895,0.0728,0.0,1101.0,0.4801,,0.2577,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2441,5900,1360.0,,15.0,,,,,
South University-Montgomery,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8667,0.0267,0.0,315.0,0.6422,0.0909,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6833,13000,341.0,46.0,13.0,,,,,
Enterprise State Community College,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0336,0.0,0.0,0.0,0.0,0.0,0.0268,0.0425,0.0,0.2416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.481,0.0,0.0,0.0,0.1365,0.038,0.0,1359.0,0.4131,,0.2897,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1982,5500,1796.0,,17.0,,,,,
Coastal Alabama Community College,Southern Association of Colleges and Schools Commission on Colleges,,,0.0079,0.0,0.0,0.0,0.0,0.004,0.0046,0.0158,0.0,0.0,0.099,0.0,0.0046,0.0053,0.0,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0706,0.1294,0.0,0.0066,0.305,0.0422,0.0,4809.0,0.337,,0.2246,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2168,5500,7063.0,,15.0,,,,,
Faulkner University,Southern Association of Colleges and Schools Commission on Colleges,0.8241,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0284,0.0,0.0175,0.0,0.0,0.0,0.0,0.0175,0.0109,0.0175,0.0,0.0087,0.0022,0.0,0.0459,0.0459,0.0,0.024,0.0,0.0,0.059,0.1812,0.0,0.0087,0.0,0.0,0.0,0.0,0.0087,0.0153,0.5044,0.0044,1587.0,0.461,0.33,,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.6093,15000,1922.0,1025.0,13.0,510.0,520.0,19.0,21.0,18.0
Gadsden State Community College,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.0788,0.0,0.0,0.1242,0.0,0.0191,0.0217,0.0,0.1406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177,0.2714,0.0841,0.0,0.0,0.1761,0.0572,0.0,3446.0,0.4615,,0.2512,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,PS,4308.0,,17.0,,,,,
New Beginning College of Cosmetology,National Accrediting Commission of Career Arts and Sciences,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.2368,,0.5867,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1579,6100,114.0,,7.0,,,,,
George C Wallace Community College-Dothan,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0236,0.0648,0.0,0.0,0.0609,0.0,0.0697,0.0,0.0,0.2426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147,0.0,0.0,0.0108,0.0413,0.0462,0.0,0.0,0.3703,0.055,0.0,3069.0,0.4755,,0.294,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,PS,3899.0,,14.0,,,,,
George C Wallace State Community College-Hanceville,Southern Association of Colleges and Schools Commission on Colleges,,,0.0028,0.0,0.0,0.0,0.0,0.0,0.0184,0.0252,0.0,0.0,0.0584,0.0,0.0396,0.0032,0.0,0.1032,0.0,0.0,0.0,0.0,0.1603,0.0,0.0004,0.0,0.0,0.0,0.0,0.0164,0.0,0.0,0.0,0.1471,0.0704,0.008,0.0092,0.2899,0.0476,0.0,4207.0,0.3966,,0.454,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2135,8200,5204.0,,19.0,,,,,
George C Wallace State Community College-Selma,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0243,0.0152,0.0,0.0,0.0517,0.0,0.0,0.0,0.0,0.4559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1246,0.0122,0.1003,0.0,0.0,0.1733,0.0426,0.0,856.0,0.4106,,0.3651,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,PS,1627.0,,15.0,,,,,
Herzing University-Birmingham,Higher Learning Commission,0.9412,,0.0,0.0,0.0,0.0,0.0,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9136,0.07,0.0,570.0,0.6398,0.3,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7385,11756,608.0,8.0,14.0,,,,,
Huntingdon College,Southern Association of Colleges and Schools Commission on Colleges,0.6595,1086.0,0.0,0.0,0.0,0.0,0.0196,0.0,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0,0.0098,0.0,0.0,0.1029,0.0098,0.0,0.0,0.1765,0.0196,0.0,0.0098,0.0,0.0735,0.0735,0.0,0.0294,0.0,0.0,0.0,0.0,0.0196,0.0245,0.3971,0.0196,810.0,0.3921,0.5018,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.7354,20000,839.0,5.0,14.0,520.0,540.0,21.0,21.0,19.0
Heritage Christian University,Association for Biblical Higher Education,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.3929,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0595,PS,84.0,61.0,8.0,,,,,
J. F. Drake State Community and Technical College,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0299,0.1497,0.0,0.0,0.2575,0.0,0.0,0.0,0.0,0.0419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.509,0.006,0.0,698.0,0.4644,,0.1216,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,PS,872.0,,12.0,,,,,
J F Ingram State Technical College,Council on Occupational Education,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2441,0.3154,0.1648,0.0,0.0,0.0,0.1537,0.0,768.0,0.27,,0.0966,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,PS,400.0,,11.0,,,,,
Jacksonville State University,Southern Association of Colleges and Schools Commission on Colleges,0.7846,1055.0,0.0,0.0,0.0,0.0,0.0325,0.0,0.0304,0.0,0.0926,0.0,0.036,0.0007,0.017,0.0,0.017,0.0749,0.0,0.0516,0.0049,0.0,0.0,0.0163,0.0,0.0,0.0057,0.0,0.0254,0.0686,0.0311,0.0155,0.0,0.0,0.0,0.0,0.0516,0.277,0.135,0.0163,7066.0,0.4386,0.5224,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7053,14000,8067.0,1322.0,19.0,560.0,540.0,20.0,20.0,17.0
Jefferson State Community College,Southern Association of Colleges and Schools Commission on Colleges,,,0.0139,0.0,0.0,0.0,0.0,0.0,0.0563,0.0533,0.0,0.0,0.0902,0.0,0.0278,0.0,0.0,0.4625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1864,0.0999,0.0,5550.0,0.296,,0.2159,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1958,4500,8518.0,,18.0,,,,,
John C Calhoun State Community College,Southern Association of Colleges and Schools Commission on Colleges,,,0.0024,0.0,0.0,0.0,0.0,0.0,0.0936,0.0,0.0,0.0,0.1665,0.0,0.0058,0.0,0.0,0.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0187,0.0003,0.0,0.0101,0.1242,0.0695,0.0,6549.0,0.2945,,0.3608,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.152,6010,8702.0,,20.0,,,,,
Lawson State Community College,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0049,0.0394,0.0509,0.0,0.0,0.1691,0.0,0.0493,0.0,0.0,0.2594,0.0,0.0,0.0,0.0,0.0246,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.0,0.0,0.023,0.0854,0.0328,0.0,0.0115,0.1724,0.0722,0.0,2554.0,0.5624,,0.2285,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,PS,3094.0,,16.0,,,,,
University of West Alabama,Southern Association of Colleges and Schools Commission on Colleges,0.6886,1015.0,0.0,0.0,0.0,0.0,0.0594,0.0,0.0,0.0,0.1918,0.0,0.0411,0.0,0.0,0.0,0.016,0.0,0.0,0.032,0.0183,0.0,0.1667,0.0685,0.0,0.0,0.0068,0.0,0.0639,0.0205,0.0,0.0251,0.0,0.0068,0.0,0.0,0.0,0.1438,0.1301,0.0091,2424.0,0.4556,0.3846,,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.503,13000,2322.0,3433.0,18.0,450.0,480.0,19.0,18.0,18.0
Lurleen B Wallace Community College,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.024,0.0,0.0,0.0,0.0,0.0074,0.0887,0.0,0.0,0.0037,0.0,0.0185,0.0,0.0,0.2976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1682,0.1238,0.0,0.0,0.2477,0.0203,0.0,1111.0,0.375,,0.3358,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,PS,1816.0,,16.0,,,,,
Marion Military Institute,Southern Association of Colleges and Schools Commission on Colleges,0.627,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.4076,,0.2659,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3631,5500,314.0,,11.0,,,,,
Miles College,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0054,0.0,0.0,0.0645,0.0,0.0484,0.0,0.0054,0.0,0.0,0.0,0.0484,0.0,0.0161,0.0,0.0,0.1022,0.0054,0.0,0.0,0.0,0.0,0.0,0.0108,0.0,0.0,0.1828,0.1022,0.0484,0.0,0.0,0.0,0.0,0.0645,0.0,0.2849,0.0108,1257.0,0.7447,0.264,,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.7428,15691,1520.0,,14.0,,,,,
University of Mobile,Southern Association of Colleges and Schools Commission on Colleges,0.8408,1220.0,0.0,0.0,0.0,0.0,0.061,0.0,0.0047,0.0,0.0845,0.0,0.0,0.0,0.0188,0.0,0.0235,0.0235,0.0,0.0282,0.0141,0.0,0.0235,0.0704,0.0282,0.0329,0.0,0.0,0.0563,0.0,0.0,0.0423,0.0,0.0,0.0,0.0,0.0892,0.1643,0.2207,0.0141,1108.0,0.283,0.4574,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.4541,19000,1654.0,220.0,14.0,,,25.0,25.0,23.0
University of Montevallo,Southern Association of Colleges and Schools Commission on Colleges,0.5984,,0.0,0.0266,0.0,0.0,0.0386,0.0,0.0145,0.0,0.1087,0.0,0.0,0.0072,0.0338,0.0,0.0725,0.0,0.0,0.0386,0.0169,0.0,0.0048,0.0918,0.0,0.0,0.0145,0.0,0.0773,0.0,0.0386,0.0386,0.0,0.0,0.0,0.0,0.1739,0.0604,0.1232,0.0193,2128.0,0.4167,0.5476,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5255,16000,2215.0,414.0,12.0,,,,,
Northwest-Shoals Community College,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0159,0.0333,0.0,0.0,0.0471,0.0,0.0104,0.0,0.0,0.4026,0.0,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0783,0.0686,0.1407,0.0,0.0,0.1525,0.0166,0.0,2026.0,0.3278,,0.2683,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1543,5500,3371.0,,16.0,,,,,
University of North Alabama,Southern Association of Colleges and Schools Commission on Colleges,0.9568,,0.0,0.0,0.0116,0.0,0.0382,0.0,0.0311,0.0009,0.0951,0.0,0.016,0.0098,0.0062,0.0,0.0151,0.0,0.0,0.0427,0.0009,0.0,0.0516,0.0596,0.0,0.0,0.0116,0.0,0.0302,0.0356,0.0347,0.048,0.0,0.0,0.0,0.0,0.0747,0.1653,0.2062,0.0151,5408.0,0.2919,0.523,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3626,15781,6084.0,2616.0,18.0,,,,,
Northeast Alabama Community College,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0568,0.0302,0.0,0.0,0.0683,0.0,0.0204,0.0,0.0,0.2609,0.0,0.0,0.0,0.0,0.2786,0.0,0.0,0.0,0.0,0.0,0.0,0.0098,0.0,0.0,0.0018,0.0408,0.0346,0.0,0.0,0.1597,0.0382,0.0,1565.0,0.3921,,0.447,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1278,4400,2489.0,,17.0,,,,,
Oakwood University,Southern Association of Colleges and Schools Commission on Colleges,0.6805,,0.0,0.0,0.0,0.0,0.0531,0.0,0.0088,0.0,0.0177,0.0,0.0,0.0177,0.0088,0.0,0.0133,0.1416,0.0,0.2212,0.0265,0.0,0.0,0.0,0.0,0.0708,0.0044,0.0,0.0354,0.0,0.0575,0.0221,0.0,0.0,0.0,0.0,0.0177,0.1283,0.1549,0.0,1378.0,0.4896,0.4667,,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.6463,21500,1391.0,39.0,11.0,,,,,
Reid State Technical College,Council on Occupational Education,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1933,0.0756,0.0,0.0,0.5798,0.0336,0.0,281.0,0.5294,,0.4407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,PS,374.0,,14.0,,,,,
Bishop State Community College,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0246,0.0108,0.0507,0.0,0.0,0.0384,0.0,0.0384,0.0,0.0,0.1767,0.0,0.0,0.0,0.0,0.0323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0123,0.0276,0.3287,0.0,0.235,0.0046,0.0,1943.0,0.4942,,0.2211,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,PS,2479.0,,18.0,,,,,
Samford University,Southern Association of Colleges and Schools Commission on Colleges,0.8326,1227.0,0.0,0.0036,0.0012,0.0,0.0668,0.0,0.0119,0.0,0.037,0.0,0.0,0.0084,0.0501,0.0072,0.0286,0.0012,0.0,0.031,0.0036,0.0,0.0048,0.0203,0.0048,0.0107,0.0024,0.0,0.0453,0.0,0.0036,0.0251,0.0,0.0,0.0,0.0,0.0656,0.3675,0.1838,0.0155,3668.0,0.1051,0.7779,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.2897,15750,3607.0,2010.0,14.0,600.0,570.0,26.0,26.0,24.0
Selma University,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222,0.0,30.0,,,,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,,,,19.0,4.0,,,,,
Shelton State Community College,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0598,0.0,0.0,0.0246,0.0,0.0152,0.0,0.0,0.272,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,0.177,0.0926,0.0,0.0,0.2392,0.0985,0.0,3257.0,0.3365,,0.2284,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,PS,4663.0,,17.0,,,,,
Snead State Community College,Southern Association of Colleges and Schools Commission on Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0953,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.6578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0766,0.0,0.0,0.0,0.0609,0.0969,0.0,1494.0,0.3808,,0.3986,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.139,6450,2245.0,,21.0,,,,,
University of South Alabama,Southern Association of Colleges and Schools Commission on Colleges,0.6536,1118.0,0.0,0.0,0.0,0.0,0.0261,0.0,0.0492,0.0,0.1076,0.0784,0.0,0.0041,0.0,0.0,0.0092,0.0,0.0,0.0764,0.0067,0.0,0.0415,0.021,0.0036,0.0,0.0128,0.0,0.0431,0.02,0.0154,0.0205,0.0,0.0,0.0,0.0,0.0282,0.3091,0.1194,0.0077,8171.0,0.3853,0.4767,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5065,17750,8833.0,4958.0,16.0,550.0,545.0,22.0,22.0,20.0
Spring Hill College,Southern Association of Colleges and Schools Commission on Colleges,0.7263,1094.0,0.0,0.0,0.0,0.0,0.0596,0.0,0.0,0.0,0.0367,0.0,0.0,0.0,0.0,0.0,0.0229,0.0413,0.0,0.0917,0.0229,0.0,0.0,0.0,0.0229,0.0,0.0046,0.0,0.0596,0.0,0.0,0.1055,0.0,0.0,0.0,0.0,0.055,0.1422,0.3211,0.0138,932.0,0.3531,0.6156,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.5654,21500,994.0,113.0,12.0,580.0,580.0,21.0,23.0,22.0
